03:02:07.489194 IP 172.16.167.139 > 171.16.167.136: ICMP echo request, id 4908, seq 0, length 8
03:02:10.410861 IP 172.16.167.139.48431 > 171.16.167.136.617: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.410884 IP 172.16.167.139.48431 > 171.16.167.136.26: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.410907 IP 172.16.167.139.48431 > 171.16.167.136.5550: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.413363 IP 172.16.167.139.48431 > 171.16.167.136.8649: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.413445 IP 172.16.167.139.48431 > 171.16.167.136.264: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.413474 IP 172.16.167.139.48431 > 171.16.167.136.3517: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.413516 IP 172.16.167.139.48431 > 171.16.167.136.81: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.413540 IP 172.16.167.139.48431 > 171.16.167.136.524: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.413571 IP 172.16.167.139.48431 > 171.16.167.136.1095: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.415973 IP 172.16.167.139.48431 > 171.16.167.136.ripd: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416046 IP 172.16.167.139.48431 > 171.16.167.136.64680: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416070 IP 172.16.167.139.48431 > 171.16.167.136.49155: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416107 IP 172.16.167.139.48431 > 171.16.167.136.5003: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416128 IP 172.16.167.139.48431 > 171.16.167.136.50500: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416171 IP 172.16.167.139.48431 > 171.16.167.136.5510: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416193 IP 172.16.167.139.48431 > 171.16.167.136.40193: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416229 IP 172.16.167.139.48431 > 171.16.167.136.1600: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416250 IP 172.16.167.139.48431 > 171.16.167.136.spamd: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416285 IP 172.16.167.139.48431 > 171.16.167.136.5033: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416306 IP 172.16.167.139.48431 > 171.16.167.136.echo: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416342 IP 172.16.167.139.48431 > 171.16.167.136.3659: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416363 IP 172.16.167.139.48431 > 171.16.167.136.5555: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416400 IP 172.16.167.139.48431 > 171.16.167.136.25735: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416421 IP 172.16.167.139.48431 > 171.16.167.136.3918: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.416499 IP 172.16.167.139.48431 > 171.16.167.136.32780: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.418891 IP 172.16.167.139.48431 > 171.16.167.136.9929: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.418947 IP 172.16.167.139.48431 > 171.16.167.136.683: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.418969 IP 172.16.167.139.48431 > 171.16.167.136.poppassd: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.418987 IP 172.16.167.139.48431 > 171.16.167.136.6789: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419020 IP 172.16.167.139.48431 > 171.16.167.136.1036: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419039 IP 172.16.167.139.48431 > 171.16.167.136.7777: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419079 IP 172.16.167.139.48431 > 171.16.167.136.5802: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419096 IP 172.16.167.139.48431 > 171.16.167.136.8181: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419126 IP 172.16.167.139.48431 > 171.16.167.136.4000: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419143 IP 172.16.167.139.48431 > 171.16.167.136.eklogin: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419172 IP 172.16.167.139.48431 > 171.16.167.136.311: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419190 IP 172.16.167.139.48431 > 171.16.167.136.2718: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419221 IP 172.16.167.139.48431 > 171.16.167.136.7627: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419239 IP 172.16.167.139.48431 > 171.16.167.136.1198: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419269 IP 172.16.167.139.48431 > 171.16.167.136.x11-5: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419286 IP 172.16.167.139.48431 > 171.16.167.136.1839: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419318 IP 172.16.167.139.48431 > 171.16.167.136.417: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419336 IP 172.16.167.139.48431 > 171.16.167.136.1024: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.419398 IP 172.16.167.139.48431 > 171.16.167.136.3367: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421571 IP 172.16.167.139.48431 > 171.16.167.136.33: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421625 IP 172.16.167.139.48431 > 171.16.167.136.2323: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421662 IP 172.16.167.139.48431 > 171.16.167.136.1147: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421682 IP 172.16.167.139.48431 > 171.16.167.136.5959: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421714 IP 172.16.167.139.48431 > 171.16.167.136.sane-port: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421733 IP 172.16.167.139.48431 > 171.16.167.136.981: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421751 IP 172.16.167.139.48431 > 171.16.167.136.8254: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421784 IP 172.16.167.139.48431 > 171.16.167.136.6129: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421802 IP 172.16.167.139.48431 > 171.16.167.136.902: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421835 IP 172.16.167.139.48431 > 171.16.167.136.1119: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421853 IP 172.16.167.139.48431 > 171.16.167.136.1166: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421902 IP 172.16.167.139.48431 > 171.16.167.136.5999: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421922 IP 172.16.167.139.48431 > 171.16.167.136.2366: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421956 IP 172.16.167.139.48431 > 171.16.167.136.1187: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.421975 IP 172.16.167.139.48431 > 171.16.167.136.83: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422008 IP 172.16.167.139.48431 > 171.16.167.136.9290: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422027 IP 172.16.167.139.48431 > 171.16.167.136.6059: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422071 IP 172.16.167.139.48431 > 171.16.167.136.9876: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422088 IP 172.16.167.139.48431 > 171.16.167.136.8400: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422117 IP 172.16.167.139.48431 > 171.16.167.136.ldap: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422134 IP 172.16.167.139.48431 > 171.16.167.136.1065: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422177 IP 172.16.167.139.48431 > 171.16.167.136.1048: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.422194 IP 172.16.167.139.48431 > 171.16.167.136.2013: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.506896 IP 172.16.167.139.48430 > 171.16.167.136.8086: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.506985 IP 172.16.167.139.48430 > 171.16.167.136.5225: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.509364 IP 172.16.167.139.48431 > 171.16.167.136.3828: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.509471 IP 172.16.167.139.48430 > 171.16.167.136.32785: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.509510 IP 172.16.167.139.48430 > 171.16.167.136.3551: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.512136 IP 172.16.167.139.48430 > 171.16.167.136.2701: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.512204 IP 172.16.167.139.48430 > 171.16.167.136.2525: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.512248 IP 172.16.167.139.48430 > 171.16.167.136.4900: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.512271 IP 172.16.167.139.48430 > 171.16.167.136.49152: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.512293 IP 172.16.167.139.48430 > 171.16.167.136.1183: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.512315 IP 172.16.167.139.48430 > 171.16.167.136.3011: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.514481 IP 172.16.167.139.48430 > 171.16.167.136.login: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.514545 IP 172.16.167.139.48430 > 171.16.167.136.625: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.514588 IP 172.16.167.139.48430 > 171.16.167.136.1152: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.514628 IP 172.16.167.139.48430 > 171.16.167.136.6156: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.514651 IP 172.16.167.139.48430 > 171.16.167.136.4125: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.514673 IP 172.16.167.139.48430 > 171.16.167.136.1801: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517112 IP 172.16.167.139.48430 > 171.16.167.136.7937: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517168 IP 172.16.167.139.48430 > 171.16.167.136.50389: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517207 IP 172.16.167.139.48430 > 171.16.167.136.1112: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517257 IP 172.16.167.139.48430 > 171.16.167.136.1972: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517293 IP 172.16.167.139.48430 > 171.16.167.136.5822: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517327 IP 172.16.167.139.48430 > 171.16.167.136.49176: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517377 IP 172.16.167.139.48430 > 171.16.167.136.2048: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517413 IP 172.16.167.139.48430 > 171.16.167.136.16080: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517448 IP 172.16.167.139.48430 > 171.16.167.136.55056: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517483 IP 172.16.167.139.48430 > 171.16.167.136.2068: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517532 IP 172.16.167.139.48430 > 171.16.167.136.6779: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517552 IP 172.16.167.139.48430 > 171.16.167.136.8084: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517572 IP 172.16.167.139.48430 > 171.16.167.136.50636: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517592 IP 172.16.167.139.48430 > 171.16.167.136.1233: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517612 IP 172.16.167.139.48430 > 171.16.167.136.2875: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.517631 IP 172.16.167.139.48430 > 171.16.167.136.2006: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.519927 IP 172.16.167.139.48430 > 171.16.167.136.2008: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.519981 IP 172.16.167.139.48430 > 171.16.167.136.9917: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520017 IP 172.16.167.139.48430 > 171.16.167.136.21571: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520063 IP 172.16.167.139.48430 > 171.16.167.136.49156: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520095 IP 172.16.167.139.48430 > 171.16.167.136.1031: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520127 IP 172.16.167.139.48430 > 171.16.167.136.9485: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520171 IP 172.16.167.139.48430 > 171.16.167.136.3889: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520203 IP 172.16.167.139.48430 > 171.16.167.136.5850: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520235 IP 172.16.167.139.48430 > 171.16.167.136.255: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520280 IP 172.16.167.139.48430 > 171.16.167.136.1092: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520302 IP 172.16.167.139.48430 > 171.16.167.136.8500: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520336 IP 172.16.167.139.48430 > 171.16.167.136.bpcd: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520353 IP 172.16.167.139.48430 > 171.16.167.136.ms-sql-m: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520382 IP 172.16.167.139.48430 > 171.16.167.136.50006: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520411 IP 172.16.167.139.48430 > 171.16.167.136.2638: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520441 IP 172.16.167.139.48430 > 171.16.167.136.8093: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520460 IP 172.16.167.139.48430 > 171.16.167.136.6668: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520476 IP 172.16.167.139.48430 > 171.16.167.136.12174: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.520493 IP 172.16.167.139.48430 > 171.16.167.136.3703: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.522893 IP 172.16.167.139.48430 > 171.16.167.136.24444: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.522941 IP 172.16.167.139.48430 > 171.16.167.136.1059: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.522973 IP 172.16.167.139.48430 > 171.16.167.136.1066: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523014 IP 172.16.167.139.48430 > 171.16.167.136.3052: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523043 IP 172.16.167.139.48430 > 171.16.167.136.7512: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523071 IP 172.16.167.139.48430 > 171.16.167.136.4998: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523111 IP 172.16.167.139.48430 > 171.16.167.136.8022: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523140 IP 172.16.167.139.48430 > 171.16.167.136.3000: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523168 IP 172.16.167.139.48430 > 171.16.167.136.2020: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523208 IP 172.16.167.139.48430 > 171.16.167.136.3476: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523237 IP 172.16.167.139.48430 > 171.16.167.136.4848: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523265 IP 172.16.167.139.48430 > 171.16.167.136.1030: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523304 IP 172.16.167.139.48430 > 171.16.167.136.9040: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523333 IP 172.16.167.139.48430 > 171.16.167.136.2043: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523362 IP 172.16.167.139.48430 > 171.16.167.136.1999: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523393 IP 172.16.167.139.48430 > 171.16.167.136.3013: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523412 IP 172.16.167.139.48430 > 171.16.167.136.5925: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523429 IP 172.16.167.139.48430 > 171.16.167.136.svrloc: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523454 IP 172.16.167.139.48430 > 171.16.167.136.999: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523470 IP 172.16.167.139.48430 > 171.16.167.136.chargen: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523485 IP 172.16.167.139.48430 > 171.16.167.136.1971: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523500 IP 172.16.167.139.48430 > 171.16.167.136.radmin-port: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.523516 IP 172.16.167.139.48430 > 171.16.167.136.1050: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.607863 IP 172.16.167.139.48431 > 171.16.167.136.5225: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.607952 IP 172.16.167.139.48431 > 171.16.167.136.8086: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.610401 IP 172.16.167.139.48431 > 171.16.167.136.3551: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.610504 IP 172.16.167.139.48431 > 171.16.167.136.32785: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.610543 IP 172.16.167.139.48430 > 171.16.167.136.1022: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:10.612998 IP 172.16.167.139.48431 > 171.16.167.136.3011: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.613072 IP 172.16.167.139.48431 > 171.16.167.136.1183: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.613099 IP 172.16.167.139.48431 > 171.16.167.136.49152: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.613141 IP 172.16.167.139.48431 > 171.16.167.136.4900: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.613164 IP 172.16.167.139.48431 > 171.16.167.136.2525: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.613187 IP 172.16.167.139.48431 > 171.16.167.136.2701: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.615626 IP 172.16.167.139.48431 > 171.16.167.136.1801: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.615686 IP 172.16.167.139.48431 > 171.16.167.136.4125: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.615710 IP 172.16.167.139.48431 > 171.16.167.136.6156: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.615748 IP 172.16.167.139.48431 > 171.16.167.136.1152: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.615769 IP 172.16.167.139.48431 > 171.16.167.136.625: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.615842 IP 172.16.167.139.48431 > 171.16.167.136.login: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618228 IP 172.16.167.139.48431 > 171.16.167.136.2006: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618282 IP 172.16.167.139.48431 > 171.16.167.136.2875: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618319 IP 172.16.167.139.48431 > 171.16.167.136.1233: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618340 IP 172.16.167.139.48431 > 171.16.167.136.50636: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618358 IP 172.16.167.139.48431 > 171.16.167.136.8084: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618391 IP 172.16.167.139.48431 > 171.16.167.136.6779: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618410 IP 172.16.167.139.48431 > 171.16.167.136.2068: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618442 IP 172.16.167.139.48431 > 171.16.167.136.55056: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618461 IP 172.16.167.139.48431 > 171.16.167.136.16080: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618494 IP 172.16.167.139.48431 > 171.16.167.136.2048: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618513 IP 172.16.167.139.48431 > 171.16.167.136.49176: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618546 IP 172.16.167.139.48431 > 171.16.167.136.5822: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618565 IP 172.16.167.139.48431 > 171.16.167.136.1972: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618597 IP 172.16.167.139.48431 > 171.16.167.136.1112: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618616 IP 172.16.167.139.48431 > 171.16.167.136.50389: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.618683 IP 172.16.167.139.48431 > 171.16.167.136.7937: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.620903 IP 172.16.167.139.48431 > 171.16.167.136.3703: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.620952 IP 172.16.167.139.48431 > 171.16.167.136.12174: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.620985 IP 172.16.167.139.48431 > 171.16.167.136.6668: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621003 IP 172.16.167.139.48431 > 171.16.167.136.8093: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621033 IP 172.16.167.139.48431 > 171.16.167.136.2638: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621051 IP 172.16.167.139.48431 > 171.16.167.136.50006: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621068 IP 172.16.167.139.48431 > 171.16.167.136.ms-sql-m: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621098 IP 172.16.167.139.48431 > 171.16.167.136.bpcd: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621115 IP 172.16.167.139.48431 > 171.16.167.136.8500: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621144 IP 172.16.167.139.48431 > 171.16.167.136.1092: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621162 IP 172.16.167.139.48431 > 171.16.167.136.255: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621192 IP 172.16.167.139.48431 > 171.16.167.136.5850: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621210 IP 172.16.167.139.48431 > 171.16.167.136.3889: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621240 IP 172.16.167.139.48431 > 171.16.167.136.9485: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621257 IP 172.16.167.139.48431 > 171.16.167.136.1031: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621287 IP 172.16.167.139.48431 > 171.16.167.136.49156: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621306 IP 172.16.167.139.48431 > 171.16.167.136.21571: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621337 IP 172.16.167.139.48431 > 171.16.167.136.9917: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.621354 IP 172.16.167.139.48431 > 171.16.167.136.2008: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623660 IP 172.16.167.139.48431 > 171.16.167.136.1050: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623707 IP 172.16.167.139.48431 > 171.16.167.136.radmin-port: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623740 IP 172.16.167.139.48431 > 171.16.167.136.1971: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623757 IP 172.16.167.139.48431 > 171.16.167.136.chargen: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623785 IP 172.16.167.139.48431 > 171.16.167.136.999: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623802 IP 172.16.167.139.48431 > 171.16.167.136.svrloc: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623831 IP 172.16.167.139.48431 > 171.16.167.136.5925: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623848 IP 172.16.167.139.48431 > 171.16.167.136.3013: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623864 IP 172.16.167.139.48431 > 171.16.167.136.1999: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623893 IP 172.16.167.139.48431 > 171.16.167.136.2043: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623910 IP 172.16.167.139.48431 > 171.16.167.136.9040: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623939 IP 172.16.167.139.48431 > 171.16.167.136.1030: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:10.623956 IP 172.16.167.139.48431 > 171.16.167.136.4848: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
