17:54:11.734536 ARP, Request who-has 192.168.10.133 (Broadcast) tell 192.168.10.134, length 46
17:54:11.734781 ARP, Reply 192.168.10.133 is-at 00:0c:29:c5:fb:e2 (oui Unknown), length 46
17:54:11.936132 IP 192.168.10.134.56282 > 192.168.10.2.domain: 60827+ PTR? 133.10.168.192.in-addr.arpa. (45)
17:54:11.937951 IP 192.168.10.2.domain > 192.168.10.134.56282: 60827 NXDomain 0/1/0 (95)
17:54:11.939360 IP 192.168.10.134.61339 > 192.168.10.133.1723: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.317940 IP 192.168.10.133.5915 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.317957 IP 192.168.10.134.61339 > 192.168.10.133.1102: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.317980 IP 192.168.10.133.49167 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.317996 IP 192.168.10.133.89 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318008 IP 192.168.10.134.61339 > 192.168.10.133.17988: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318034 IP 192.168.10.133.2920 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318050 IP 192.168.10.133.3323 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318071 IP 192.168.10.134.61339 > 192.168.10.133.2383: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318103 IP 192.168.10.133.8011 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318121 IP 192.168.10.134.61339 > 192.168.10.133.18988: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318148 IP 192.168.10.133.62078 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318162 IP 192.168.10.134.61339 > 192.168.10.133.1503: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318163 IP 192.168.10.134.61339 > 192.168.10.133.1086: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318182 IP 192.168.10.133.socks > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318195 IP 192.168.10.134.61339 > 192.168.10.133.880: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318225 IP 192.168.10.133.1102 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318238 IP 192.168.10.134.61339 > 192.168.10.133.1039: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318240 IP 192.168.10.134.61339 > 192.168.10.133.2179: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318258 IP 192.168.10.133.17988 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318271 IP 192.168.10.134.61339 > 192.168.10.133.55600: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318295 IP 192.168.10.133.2383 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318306 IP 192.168.10.133.18988 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318318 IP 192.168.10.134.61339 > 192.168.10.133.9877: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318320 IP 192.168.10.134.61339 > 192.168.10.133.50001: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318338 IP 192.168.10.133.1503 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318359 IP 192.168.10.134.61339 > 192.168.10.133.6699: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318361 IP 192.168.10.134.61339 > 192.168.10.133.56738: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318380 IP 192.168.10.133.1086 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318398 IP 192.168.10.133.880 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318417 IP 192.168.10.133.1039 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318432 IP 192.168.10.134.61339 > 192.168.10.133.6788: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318434 IP 192.168.10.134.61339 > 192.168.10.133.2045: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318453 IP 192.168.10.134.61339 > 192.168.10.133.34571: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318455 IP 192.168.10.134.61339 > 192.168.10.133.5566: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318465 IP 192.168.10.134.61339 > 192.168.10.133.1185: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318467 IP 192.168.10.134.61339 > 192.168.10.133.2022: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318484 IP 192.168.10.134.61339 > 192.168.10.133.27000: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318486 IP 192.168.10.134.61339 > 192.168.10.133.8652: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318511 IP 192.168.10.133.2179 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318522 IP 192.168.10.133.55600 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318536 IP 192.168.10.134.61339 > 192.168.10.133.4662: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318538 IP 192.168.10.134.61339 > 192.168.10.133.1126: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318555 IP 192.168.10.133.9877 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318571 IP 192.168.10.134.61339 > 192.168.10.133.1111: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.318597 IP 192.168.10.133.50001 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318633 IP 192.168.10.133.6699 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318648 IP 192.168.10.133.56738 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318666 IP 192.168.10.133.6788 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318676 IP 192.168.10.133.2045 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318704 IP 192.168.10.133.34571 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318714 IP 192.168.10.133.5566 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318742 IP 192.168.10.133.1185 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318752 IP 192.168.10.133.2022 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318779 IP 192.168.10.133.27000 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318790 IP 192.168.10.133.8652 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318822 IP 192.168.10.133.4662 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318836 IP 192.168.10.133.1126 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.318875 IP 192.168.10.133.1111 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321231 IP 192.168.10.134.61339 > 192.168.10.133.2710: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321272 IP 192.168.10.134.61339 > 192.168.10.133.9001: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321275 IP 192.168.10.134.61339 > 192.168.10.133.32778: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321286 IP 192.168.10.134.61339 > 192.168.10.133.5101: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321288 IP 192.168.10.134.61339 > 192.168.10.133.705: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321306 IP 192.168.10.134.61339 > 192.168.10.133.bpjava-msvc: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321308 IP 192.168.10.134.61339 > 192.168.10.133.8009: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321318 IP 192.168.10.134.61339 > 192.168.10.133.7911: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321321 IP 192.168.10.134.61339 > 192.168.10.133.9011: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321338 IP 192.168.10.134.61339 > 192.168.10.133.5952: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321340 IP 192.168.10.134.61339 > 192.168.10.133.daap: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321351 IP 192.168.10.134.61339 > 192.168.10.133.41511: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321364 IP 192.168.10.134.61339 > 192.168.10.133.tcpmux: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321366 IP 192.168.10.134.61339 > 192.168.10.133.pop2: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321395 IP 192.168.10.133.2710 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321414 IP 192.168.10.133.9001 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321424 IP 192.168.10.133.32778 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321449 IP 192.168.10.134.61339 > 192.168.10.133.55056: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321451 IP 192.168.10.134.61339 > 192.168.10.133.2718: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321462 IP 192.168.10.134.61339 > 192.168.10.133.4006: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321464 IP 192.168.10.134.61339 > 192.168.10.133.9500: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321496 IP 192.168.10.133.5101 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321507 IP 192.168.10.133.705 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321525 IP 192.168.10.133.bpjava-msvc > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321537 IP 192.168.10.133.8009 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321556 IP 192.168.10.133.7911 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321565 IP 192.168.10.133.9011 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321575 IP 192.168.10.133.5952 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321594 IP 192.168.10.133.daap > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321604 IP 192.168.10.133.41511 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321621 IP 192.168.10.133.tcpmux > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321632 IP 192.168.10.133.pop2 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321649 IP 192.168.10.134.61339 > 192.168.10.133.58080: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321651 IP 192.168.10.134.61339 > 192.168.10.133.2525: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321663 IP 192.168.10.134.61339 > 192.168.10.133.3030: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321665 IP 192.168.10.134.61339 > 192.168.10.133.time: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321675 IP 192.168.10.134.61339 > 192.168.10.133.340: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321677 IP 192.168.10.134.61339 > 192.168.10.133.9200: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321695 IP 192.168.10.134.61339 > 192.168.10.133.306: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321697 IP 192.168.10.134.61339 > 192.168.10.133.2008: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321715 IP 192.168.10.134.61339 > 192.168.10.133.1042: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321717 IP 192.168.10.134.61339 > 192.168.10.133.2399: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321726 IP 192.168.10.134.61339 > 192.168.10.133.9000: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321728 IP 192.168.10.134.61339 > 192.168.10.133.1248: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321746 IP 192.168.10.134.61339 > 192.168.10.133.5001: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321748 IP 192.168.10.134.61339 > 192.168.10.133.5988: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321766 IP 192.168.10.134.61339 > 192.168.10.133.2065: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321769 IP 192.168.10.134.61339 > 192.168.10.133.1032: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.321796 IP 192.168.10.133.55056 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321806 IP 192.168.10.133.2718 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321824 IP 192.168.10.133.4006 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321834 IP 192.168.10.133.9500 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321859 IP 192.168.10.133.58080 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321868 IP 192.168.10.133.2525 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321878 IP 192.168.10.133.3030 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321898 IP 192.168.10.133.time > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321908 IP 192.168.10.133.340 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321918 IP 192.168.10.133.9200 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321937 IP 192.168.10.133.306 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321947 IP 192.168.10.133.2008 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321957 IP 192.168.10.133.1042 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321974 IP 192.168.10.133.2399 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.321985 IP 192.168.10.133.9000 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322002 IP 192.168.10.133.1248 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322015 IP 192.168.10.133.5001 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322024 IP 192.168.10.133.5988 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322042 IP 192.168.10.133.2065 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322052 IP 192.168.10.133.1032 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322078 IP 192.168.10.134.61339 > 192.168.10.133.10003: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322082 IP 192.168.10.134.61339 > 192.168.10.133.10002: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322094 IP 192.168.10.134.61339 > 192.168.10.133.82: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322097 IP 192.168.10.134.61339 > 192.168.10.133.7019: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322116 IP 192.168.10.134.61339 > 192.168.10.133.26214: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322118 IP 192.168.10.134.61339 > 192.168.10.133.1045: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322128 IP 192.168.10.134.61339 > 192.168.10.133.3031: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322130 IP 192.168.10.134.61339 > 192.168.10.133.15000: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322139 IP 192.168.10.134.61339 > 192.168.10.133.6779: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322141 IP 192.168.10.134.61339 > 192.168.10.133.7103: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322152 IP 192.168.10.134.61339 > 192.168.10.133.259: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322154 IP 192.168.10.134.61339 > 192.168.10.133.3017: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322164 IP 192.168.10.134.61339 > 192.168.10.133.9917: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322166 IP 192.168.10.134.61339 > 192.168.10.133.1217: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322176 IP 192.168.10.134.61339 > 192.168.10.133.24444: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322186 IP 192.168.10.133.10003 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322197 IP 192.168.10.133.10002 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322216 IP 192.168.10.133.82 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322226 IP 192.168.10.133.7019 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322242 IP 192.168.10.134.61339 > 192.168.10.133.8010: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.322260 IP 192.168.10.133.26214 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322270 IP 192.168.10.133.1045 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322298 IP 192.168.10.133.3031 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322309 IP 192.168.10.133.15000 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322336 IP 192.168.10.133.6779 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322346 IP 192.168.10.133.7103 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322363 IP 192.168.10.133.259 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322373 IP 192.168.10.133.3017 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322401 IP 192.168.10.133.9917 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322412 IP 192.168.10.133.1217 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322451 IP 192.168.10.133.24444 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.322466 IP 192.168.10.133.8010 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.325294 IP 192.168.10.134.61339 > 192.168.10.133.svn: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325324 IP 192.168.10.134.61339 > 192.168.10.133.722: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325327 IP 192.168.10.134.61339 > 192.168.10.133.2260: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325346 IP 192.168.10.134.61339 > 192.168.10.133.nut: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325348 IP 192.168.10.134.61339 > 192.168.10.133.32777: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325365 IP 192.168.10.134.61339 > 192.168.10.133.27715: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325368 IP 192.168.10.134.61339 > 192.168.10.133.4900: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325386 IP 192.168.10.134.61339 > 192.168.10.133.2001: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325399 IP 192.168.10.134.61339 > 192.168.10.133.1095: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325401 IP 192.168.10.134.61339 > 192.168.10.133.3011: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325419 IP 192.168.10.134.61339 > 192.168.10.133.2144: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325422 IP 192.168.10.134.61339 > 192.168.10.133.1583: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325440 IP 192.168.10.134.61339 > 192.168.10.133.55555: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325442 IP 192.168.10.134.61339 > 192.168.10.133.9594: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325461 IP 192.168.10.134.61339 > 192.168.10.133.33899: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325473 IP 192.168.10.134.61339 > 192.168.10.133.1061: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325477 IP 192.168.10.134.61339 > 192.168.10.133.1108: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325496 IP 192.168.10.134.61339 > 192.168.10.133.646: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325508 IP 192.168.10.134.61339 > 192.168.10.133.3527: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325510 IP 192.168.10.134.61339 > 192.168.10.133.9290: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325530 IP 192.168.10.134.61339 > 192.168.10.133.3005: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325532 IP 192.168.10.134.61339 > 192.168.10.133.683: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325550 IP 192.168.10.134.61339 > 192.168.10.133.5802: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325552 IP 192.168.10.134.61339 > 192.168.10.133.1322: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325570 IP 192.168.10.134.61339 > 192.168.10.133.6389: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325573 IP 192.168.10.134.61339 > 192.168.10.133.1244: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325590 IP 192.168.10.134.61339 > 192.168.10.133.2382: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325593 IP 192.168.10.134.61339 > 192.168.10.133.1174: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325610 IP 192.168.10.134.61339 > 192.168.10.133.2725: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325612 IP 192.168.10.134.61339 > 192.168.10.133.1132: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325630 IP 192.168.10.134.61339 > 192.168.10.133.1947: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325643 IP 192.168.10.134.61339 > 192.168.10.133.14442: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325646 IP 192.168.10.134.61339 > 192.168.10.133.16018: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325665 IP 192.168.10.134.61339 > 192.168.10.133.34572: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325667 IP 192.168.10.134.61339 > 192.168.10.133.3367: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325685 IP 192.168.10.134.61339 > 192.168.10.133.1443: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325687 IP 192.168.10.134.61339 > 192.168.10.133.366: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325698 IP 192.168.10.134.61339 > 192.168.10.133.1075: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325700 IP 192.168.10.134.61339 > 192.168.10.133.1192: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325710 IP 192.168.10.134.61339 > 192.168.10.133.12265: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325712 IP 192.168.10.134.61339 > 192.168.10.133.13456: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325721 IP 192.168.10.134.61339 > 192.168.10.133.40193: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325723 IP 192.168.10.134.61339 > 192.168.10.133.32773: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325734 IP 192.168.10.134.61339 > 192.168.10.133.9002: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325736 IP 192.168.10.134.61339 > 192.168.10.133.27355: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325745 IP 192.168.10.134.61339 > 192.168.10.133.1169: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325748 IP 192.168.10.134.61339 > 192.168.10.133.lotusnote: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325757 IP 192.168.10.134.61339 > 192.168.10.133.1085: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325761 IP 192.168.10.134.61339 > 192.168.10.133.wipld: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325771 IP 192.168.10.134.61339 > 192.168.10.133.6156: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.325784 IP 192.168.10.133.svn > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.325786 IP 192.168.10.133.722 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:17.325797 IP 192.168.10.133.2260 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
